time,x_rms,x_freq_0,x_mag_0,x_freq_1,x_mag_1,x_freq_2,x_mag_2,y_rms,y_freq_0,y_mag_0,y_freq_1,y_mag_1,y_freq_2,y_mag_2,z_rms,z_freq_0,z_mag_0,z_freq_1,z_mag_1,z_freq_2,z_mag_2 
137127,4.6671,33.5938,14.3841,47.6562,10.5752,25.7812,10.4109,6.9468,153.9062,21.8813,53.9062,17.4839,33.5938,17.3612,11.3057,131.2500,39.2631,124.2188,36.4730,130.4688,36.2456
138403,59.8539,0.7812,274.3412,1.5625,271.0116,2.3438,264.5191,98.3553,2.3438,520.6157,1.5625,517.4398,0.7812,513.3475,386.9741,0.7812,2413.2849,1.5625,2362.0586,2.3438,2234.0874
139678,130.6550,1.5625,967.5560,3.1250,864.1485,0.7812,737.1813,466.1718,0.7812,6194.8447,1.5625,3890.0671,3.1250,844.8270,1309.6302,0.7812,19001.1348,1.5625,5567.7686,3.1250,4836.8237
140952,189.8216,0.7812,1415.8049,3.1250,1317.8018,4.6875,1099.7599,449.1142,0.7812,6407.4585,1.5625,2553.6738,2.3438,1155.3320,1355.6102,0.7812,21114.2031,2.3438,2313.7410,1.5625,2100.2185
142179,130.3946,0.7812,1017.1994,3.1250,809.9251,4.6875,691.0779,419.0229,0.7812,5663.1318,1.5625,2828.9275,3.1250,1627.1543,1374.7307,0.7812,21120.3848,2.3438,4157.9399,3.9062,2722.0220
143455,169.7557,0.7812,1454.7051,2.3438,1100.5746,4.6875,935.3813,424.5708,0.7812,5868.9385,1.5625,1678.8872,3.1250,1606.5525,1558.7358,0.7812,24099.1133,2.3438,3728.9229,4.6875,2562.9890
144731,174.3668,0.7812,1352.7726,4.6875,1278.1434,7.8125,858.7094,517.8868,0.7812,7263.5645,1.5625,3233.9626,2.3438,1838.1696,1594.1403,0.7812,24878.6855,1.5625,4506.6992,4.6875,1459.7716
146005,154.6091,0.7812,1773.8551,2.3438,960.7567,5.4688,672.6304,478.8505,0.7812,6140.4995,1.5625,3787.4243,2.3438,2219.0576,1508.1927,0.7812,23513.5352,1.5625,3548.7937,3.1250,2782.1848
147282,144.1175,0.7812,1303.6904,3.9062,798.4354,6.2500,745.8014,430.8571,0.7812,5378.0977,1.5625,3567.9521,2.3438,1766.3342,1417.6975,0.7812,21670.4590,1.5625,4737.0244,2.3438,2740.1919
148509,161.0660,0.7812,2033.8044,3.1250,642.0759,3.9062,611.0353,481.4542,0.7812,6259.6265,1.5625,3205.2493,2.3438,2352.6147,1334.0238,0.7812,20357.7109,1.5625,4300.1543,3.9062,2400.2188
149785,134.5099,0.7812,958.6295,1.5625,836.1537,7.0312,791.8351,213.1462,0.7812,2243.0242,1.5625,1393.2407,2.3438,1094.6704,541.6357,0.7812,4260.5884,1.5625,3424.5972,5.4688,1947.7091
151060,14.2002,7.8125,98.3541,12.5000,68.8457,10.1562,65.9848,10.2793,0.7812,55.7900,3.9062,46.9825,5.4688,38.3747,12.8708,27.3438,48.6197,14.8438,44.0959,25.7812,39.3785
152336,7.2447,9.3750,33.7146,18.7500,27.2109,13.2812,21.3856,7.7504,7.0312,28.6145,136.7188,24.8023,115.6250,23.0248,10.9882,9.3750,33.0198,131.2500,31.4482,15.6250,28.0120
153612,7.3007,14.0625,30.0069,19.5312,28.1134,17.9688,26.0187,7.5356,135.9375,23.8777,122.6562,23.4900,14.0625,22.0951,10.8184,138.2812,34.2563,19.5312,32.6073,123.4375,31.7144
